City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Buinsk,RU,54.95,48.2833,40.95,79,15,4.65,few clouds
275,Ishigaki,JP,24.3448,124.1572,80.73,100,75,4.61,broken clouds
276,North Bend,US,43.4065,-124.2243,66.07,85,100,10.36,overcast clouds
277,El Reno,US,35.5323,-97.955,67.73,50,0,14.97,clear sky
278,Yeovil,GB,50.9416,-2.6321,62.78,94,100,20.71,overcast clouds
279,Alugan,PH,12.2188,125.4808,78.08,88,100,4.23,heavy intensity rain
280,Lorengau,PG,-2.0226,147.2712,80.08,81,99,5.66,overcast clouds
281,Antalaha,MG,-14.9003,50.2788,67.1,83,0,6.17,clear sky
282,Aljezur,PT,37.3191,-8.8033,67.35,75,100,1.54,light rain
283,Alice Springs,AU,-23.7,133.8833,63.95,88,7,6.91,clear sky
284,Las Vegas,US,36.175,-115.1372,82.24,40,0,3.0,clear sky
285,Fort Nelson,CA,58.8053,-122.7002,38.79,56,0,3.44,clear sky
286,Pasighat,IN,28.0667,95.3333,69.01,70,0,3.78,clear sky
287,Umm Lajj,SA,25.0213,37.2685,84.11,52,8,7.47,clear sky
288,Plettenberg Bay,ZA,-34.0527,23.3716,64.47,90,100,8.01,overcast clouds
289,Polunochnoye,RU,60.8697,60.4153,39.33,90,99,5.64,overcast clouds
290,Adre,TD,13.4667,22.2,80.33,28,2,2.55,clear sky
291,Stromness,GB,58.965,-3.296,51.87,77,14,14.0,few clouds
292,Taber,CA,49.8167,-112.1518,67.84,38,14,9.22,few clouds
293,San Cristobal,VE,7.7669,-72.225,80.78,67,33,5.32,scattered clouds
294,Yumen,CN,40.2833,97.2,41.67,29,44,4.56,scattered clouds
295,Umm Kaddadah,SD,13.6017,26.6876,87.71,16,30,14.32,scattered clouds
296,Kargasok,RU,59.0556,80.8572,35.58,77,100,4.81,overcast clouds
297,Kawalu,ID,-7.3817,108.2082,71.71,96,99,2.21,overcast clouds
298,Byron Bay,AU,-28.65,153.6167,62.94,82,89,4.61,light rain
299,Sisimiut,GL,66.9395,-53.6735,38.53,61,100,11.21,overcast clouds
300,Bana,CM,5.1481,10.2762,60.12,95,90,2.19,light rain
301,Vila,PT,42.0304,-8.1588,55.71,87,100,4.32,light rain
302,Baculin,PH,7.4525,126.5842,77.5,86,99,1.81,moderate rain
303,Cap-Aux-Meules,CA,47.3821,-61.8597,55.45,94,75,14.97,broken clouds
304,Brazzaville,CG,-4.2658,15.2832,79.32,70,97,2.48,overcast clouds
305,Longyearbyen,SJ,78.2186,15.6401,24.64,68,40,10.36,scattered clouds
306,Nevelsk,RU,46.6733,141.8633,45.99,86,100,8.86,overcast clouds
307,Bathsheba,BB,13.2167,-59.5167,86.61,74,40,13.8,scattered clouds
308,Rovaniemi,FI,66.5,25.7167,45.81,100,100,12.66,overcast clouds
309,Atagay,RU,55.1033,99.3875,28.53,79,83,3.89,broken clouds
310,Noumea,NC,-22.2763,166.4572,73.0,99,1,4.18,clear sky
311,Svetlogorsk,BY,52.6333,29.7333,45.43,62,100,12.33,overcast clouds
312,Issia,CI,6.4922,-6.5856,72.28,97,92,3.0,overcast clouds
313,Komsomolskiy,UZ,40.4272,71.7189,59.72,38,87,9.22,overcast clouds
314,Yulara,AU,-25.2406,130.9889,67.87,62,5,7.83,clear sky
315,Koslan,RU,63.4564,48.8989,39.76,98,66,5.39,broken clouds
316,Akdepe,TM,42.0551,59.3788,62.69,65,94,15.55,overcast clouds
317,Tautira,PF,-17.7333,-149.15,76.8,74,2,13.42,clear sky
318,Kamenka,RU,51.3223,42.7678,39.4,69,7,1.99,clear sky
319,Upernavik,GL,72.7868,-56.1549,33.57,99,100,9.37,snow
320,Port Macquarie,AU,-31.4333,152.9167,59.9,94,72,6.82,broken clouds
321,Evanston,US,42.0411,-87.6901,55.15,59,100,3.0,overcast clouds
322,Yar-Sale,RU,66.8333,70.8333,38.71,93,100,3.36,overcast clouds
323,Avera,US,33.194,-82.5271,84.25,26,14,7.11,few clouds
324,Sawtell,AU,-30.3833,153.1,64.42,77,40,9.22,scattered clouds
325,Parintins,BR,-2.6283,-56.7358,85.28,66,100,3.38,overcast clouds
326,Coihaique,CL,-45.5752,-72.0662,70.41,35,20,8.05,few clouds
327,Jacqueville,CI,5.2052,-4.4146,78.3,84,55,7.45,light rain
328,Malacatancito,GT,15.2167,-91.5167,76.53,57,75,16.11,light rain
329,Geraldton,AU,-28.7667,114.6,57.61,88,75,1.14,broken clouds
330,Huarmey,PE,-10.0681,-78.1522,67.64,72,73,12.46,broken clouds
331,Poso,ID,-1.3959,120.7524,77.0,85,94,2.1,overcast clouds
332,Toppenish,US,46.3774,-120.3087,78.01,26,1,3.15,clear sky
333,Bo Phloi,TH,14.3236,99.5161,71.31,87,100,2.1,overcast clouds
334,Pokaran,IN,26.9167,71.9167,80.38,18,0,5.48,clear sky
335,Yarqa,JO,31.9785,35.6947,71.65,45,0,2.15,clear sky
336,Sayyan,YE,15.1718,44.3244,57.42,36,0,6.67,clear sky
337,Galle,LK,6.0367,80.217,76.95,84,100,2.42,overcast clouds
338,Kasongo,CD,-4.45,26.6667,69.15,91,100,1.63,light rain
339,Wukari,NG,7.85,9.7833,77.54,73,82,3.53,broken clouds
340,Laramie,US,41.3114,-105.5911,55.96,44,0,3.44,clear sky
341,Inirida,CO,3.8653,-67.9239,81.73,75,96,4.38,overcast clouds
342,Dimovo,BG,43.7417,22.7269,47.84,58,0,3.31,clear sky
343,Nikolayevskaya,RU,47.6139,41.5023,44.8,58,55,10.02,broken clouds
344,Rundu,NA,-17.9333,19.7667,73.09,45,90,11.97,overcast clouds
345,Mumford,GH,5.2618,-0.759,78.26,87,96,7.54,overcast clouds
346,Thinadhoo,MV,0.5333,72.9333,81.28,69,100,13.58,overcast clouds
347,Elizabeth City,US,36.2946,-76.2511,80.6,46,0,6.91,clear sky
