City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Fortuna,US,2022-10-13 00:32:22,40.5982,-124.1573,60.91,85,20,12.66
141,Priiskovyy,RU,2022-10-13 00:32:23,51.9333,116.6333,43.2,53,56,6.4
142,Saldanha,ZA,2022-10-13 00:32:23,-33.0117,17.9442,59.05,93,99,14.07
143,Bac Lieu,VN,2022-10-13 00:32:23,9.285,105.7244,77.67,85,100,8.61
144,Albuquerque,US,2022-10-13 00:32:24,35.0845,-106.6511,76.71,22,0,9.22
145,Ulladulla,AU,2022-10-13 00:32:24,-35.35,150.4667,67.91,61,97,17.05
146,Geraldton,AU,2022-10-13 00:32:25,-28.7667,114.6,61.21,44,0,17.27
147,Stornoway,GB,2022-10-13 00:32:25,58.2093,-6.3865,48.92,92,75,9.22
148,Tiksi,RU,2022-10-13 00:32:25,71.6872,128.8694,20.93,86,100,7.38
149,Ola,RU,2022-10-13 00:32:26,59.5833,151.2833,30.15,90,100,3.96
150,Zheleznodorozhnyy,RU,2022-10-13 00:32:26,55.7503,38.0042,44.15,63,100,6.13
151,Yellowknife,CA,2022-10-13 00:30:57,62.456,-114.3525,34.32,55,20,13.8
152,Kijang,KR,2022-10-13 00:32:26,35.2442,129.2139,67.73,58,50,18.43
153,Itarema,BR,2022-10-13 00:32:27,-2.9248,-39.9167,78.93,81,14,17.27
154,Airai,TL,2022-10-13 00:32:27,-8.9266,125.4092,71.65,63,6,2.06
155,Snezhnogorsk,RU,2022-10-13 00:32:27,69.1933,33.2531,37.18,87,68,13.56
156,East London,ZA,2022-10-13 00:32:28,-33.0153,27.9116,69.13,88,100,16.11
157,Luganville,VU,2022-10-13 00:32:28,-15.5333,167.1667,83.61,71,7,5.66
158,Kavieng,PG,2022-10-13 00:32:28,-2.5744,150.7967,84.34,68,100,7.36
159,Waingapu,ID,2022-10-13 00:32:29,-9.6567,120.2641,84.33,57,0,2.19
160,Buala,SB,2022-10-13 00:32:29,-8.145,159.5921,83.84,68,100,4.83
161,Salinopolis,BR,2022-10-13 00:32:30,-0.6136,-47.3561,79.25,84,100,10.94
162,Lalmohan,BD,2022-10-13 00:32:30,22.3384,90.7419,80.11,82,15,1.99
163,Whithorn,JM,2022-10-13 00:32:31,18.2604,-78.0378,78.06,89,93,1.16
164,Aripuana,BR,2022-10-13 00:32:31,-9.1667,-60.6333,71.1,99,65,1.57
165,Raudeberg,NO,2022-10-13 00:32:31,61.9875,5.1352,47.95,1,100,13.71
166,Kununurra,AU,2022-10-13 00:30:55,-15.7667,128.7333,89.58,58,2,3.44
167,Puerto Ayora,EC,2022-10-13 00:32:32,-0.7393,-90.3518,67.55,86,12,4.0
168,Kankakee,US,2022-10-13 00:28:23,41.15,-87.8667,53.15,82,0,0.0
169,Pemangkat,ID,2022-10-13 00:32:32,1.1667,108.9667,81.09,79,95,6.98
170,Maha Sarakham,TH,2022-10-13 00:32:33,16.3333,103.6667,73.22,72,100,9.57
171,Adet,ET,2022-10-13 00:32:33,11.2644,37.4888,53.56,89,19,4.05
172,Iracoubo,GF,2022-10-13 00:32:33,5.4802,-53.2011,77.97,88,100,6.38
173,Hecun,CN,2022-10-13 00:32:34,36.5333,114.1111,60.21,35,100,0.58
174,General Pico,AR,2022-10-13 00:32:34,-35.6566,-63.7568,71.1,22,100,21.92
175,Bengkulu,ID,2022-10-13 00:32:34,-3.8004,102.2655,75.16,90,100,2.86
176,Sonoita,MX,2022-10-13 00:32:35,31.85,-112.8333,87.33,29,4,8.05
177,Tessalit,ML,2022-10-13 00:32:35,20.1986,1.0114,82.4,14,0,8.66
178,Narsaq,GL,2022-10-13 00:32:35,60.9167,-46.05,26.82,70,0,8.43
179,Tikamgarh,IN,2022-10-13 00:32:36,24.745,78.8333,70.59,81,0,1.95
180,Chuncheng,CN,2022-10-13 00:32:36,22.1731,111.7886,72.19,50,2,5.39
181,Broome,US,2022-10-13 00:32:36,42.2506,-75.833,61.7,72,20,10.36
182,Sangar,RU,2022-10-13 00:33:20,63.9242,127.4739,27.03,77,100,12.66
183,Tucupita,VE,2022-10-13 00:33:37,9.0622,-62.051,74.41,95,100,4.27
184,Sechura,PE,2022-10-13 00:33:37,-5.5569,-80.8222,63.21,80,5,16.44
185,Christchurch,NZ,2022-10-13 00:29:14,-43.5333,172.6333,56.41,50,100,9.22
186,Isangel,VU,2022-10-13 00:33:37,-19.55,169.2667,77.11,73,95,6.91
187,Kulhudhuffushi,MV,2022-10-13 00:33:38,6.6221,73.07,80.4,80,100,17.36
188,Arrecife,ES,2022-10-13 00:33:38,28.963,-13.5477,71.58,78,20,16.11
189,Norman Wells,CA,2022-10-13 00:33:38,65.282,-126.8329,28.44,86,75,3.44
190,Cap-Aux-Meules,CA,2022-10-13 00:33:39,47.3821,-61.8597,50.05,87,20,9.22
191,Verkhnyaya Inta,RU,2022-10-13 00:33:39,65.9811,60.3094,36.93,77,100,6.31
192,Nisia Floresta,BR,2022-10-13 00:33:39,-6.0911,-35.2086,77.81,84,7,10.94
193,Barrow,US,2022-10-13 00:33:40,71.2906,-156.7887,32.02,69,100,13.8
194,Young,UY,2022-10-13 00:33:40,-32.6833,-57.6333,60.33,55,0,13.6
195,Abbeyfeale,IE,2022-10-13 00:33:40,52.3814,-9.3025,49.39,92,12,3.22
196,Takoradi,GH,2022-10-13 00:33:41,4.8845,-1.7554,76.15,89,100,7.02
197,Berlevag,NO,2022-10-13 00:33:41,70.8578,29.0864,42.8,81,75,16.11
198,Bilibino,RU,2022-10-13 00:33:41,68.0546,166.4372,9.05,86,100,1.7
199,Pasvalys,LT,2022-10-13 00:33:42,56.0594,24.4036,39.56,92,54,4.56
200,Victoria,HK,2022-10-13 00:30:33,22.2855,114.1577,79.25,56,2,18.01
201,Kahta,TR,2022-10-13 00:33:42,37.7855,38.6237,69.17,27,100,2.04
202,Quatre Cocos,MU,2022-10-13 00:33:43,-20.2078,57.7625,70.09,77,28,13.47
203,Hilo,US,2022-10-13 00:33:43,19.7297,-155.09,90.28,70,20,8.05
204,Medina Del Campo,ES,2022-10-13 00:33:43,41.3124,-4.9141,52.72,66,33,3.11
205,San Patricio,US,2022-10-13 00:33:44,28.017,-97.5169,86.54,71,11,4.88
206,Pontes E Lacerda,BR,2022-10-13 00:28:51,-15.2261,-59.3353,71.46,92,94,4.7
207,Chuy,UY,2022-10-13 00:33:44,-33.6971,-53.4616,56.3,72,0,8.55
208,Omboue,GA,2022-10-13 00:33:45,-1.5746,9.2618,76.03,90,100,5.55
209,Sturgis,US,2022-10-13 00:30:49,41.7992,-85.4192,55.65,93,100,6.91
210,Mayo,US,2022-10-13 00:33:45,38.8876,-76.5119,66.25,83,0,10.36
211,Puerto Carreno,CO,2022-10-13 00:33:45,6.189,-67.4859,77.97,84,100,3.91
212,Beni Mazar,EG,2022-10-13 00:33:46,28.4962,30.8029,69.22,70,1,13.02
213,Ostrovnoy,RU,2022-10-13 00:33:46,68.0531,39.5131,37.13,90,9,13.04
214,Khatanga,RU,2022-10-13 00:33:46,71.9667,102.5,25.29,97,97,6.2
215,Necochea,AR,2022-10-13 00:33:47,-38.5473,-58.7368,51.24,68,83,4.21
216,Katsuura,JP,2022-10-13 00:33:47,35.1333,140.3,66.15,94,100,18.37
217,Khandyga,RU,2022-10-13 00:33:47,62.6667,135.6,22.28,85,61,2.95
218,The Valley,AI,2022-10-13 00:29:39,18.217,-63.0578,82.81,72,1,14.5
219,Chimore,BO,2022-10-13 00:33:48,-16.9833,-65.1333,66.27,86,99,1.66
220,Todos Santos,MX,2022-10-13 00:33:48,23.45,-110.2167,80.44,77,71,8.34
221,Mayya,RU,2022-10-13 00:33:48,61.7333,130.2811,27.72,90,100,6.17
222,Bethel,US,2022-10-13 00:30:30,41.3712,-73.414,61.65,79,0,9.22
223,Grand-Santi,GF,2022-10-13 00:33:49,4.25,-54.3833,73.35,97,70,3.51
224,Saint-Joseph,RE,2022-10-13 00:33:49,-21.3667,55.6167,71.47,77,10,9.71
225,Salalah,OM,2022-10-13 00:33:49,17.0151,54.0924,77.09,73,40,3.44
226,Boguchany,RU,2022-10-13 00:33:50,58.3814,97.4531,35.28,98,100,5.77
227,Upernavik,GL,2022-10-13 00:33:51,72.7868,-56.1549,13.39,77,1,5.64
228,Inirida,CO,2022-10-13 00:34:29,3.8653,-67.9239,74.14,95,81,2.01
229,Jaynagar-Majilpur,IN,2022-10-13 00:34:51,22.1758,88.4178,78.04,91,100,3.42
230,Tongzi,CN,2022-10-13 00:34:51,28.7829,105.0877,59.59,83,100,1.66
231,Cherdyn,RU,2022-10-13 00:34:52,60.403,56.4787,44.4,87,100,5.12
232,Novikovo,RU,2022-10-13 00:34:52,51.1537,37.8879,41.65,91,11,6.2
233,Rockhampton,AU,2022-10-13 00:31:51,-23.3833,150.5,73.29,53,75,9.22
234,Touros,BR,2022-10-13 00:34:11,-5.1989,-35.4608,77.23,81,7,15.43
235,Ramotswa,BW,2022-10-13 00:34:52,-24.8716,25.8699,69.42,26,100,3.42
236,Ahipara,NZ,2022-10-13 00:34:53,-35.1667,173.1667,62.69,63,72,5.1
237,Ridgecrest,US,2022-10-13 00:34:53,35.6225,-117.6709,91.26,16,20,8.05
238,Kutum,SD,2022-10-13 00:34:53,14.2,24.6667,75.49,25,5,12.08
239,Talara,PE,2022-10-13 00:34:54,-4.5772,-81.2719,65.16,72,0,11.5
240,Bubaque,GW,2022-10-13 00:34:54,11.2833,-15.8333,80.65,80,100,14.61
241,Te Anau,NZ,2022-10-13 00:34:54,-45.4167,167.7167,55.54,47,4,2.62
242,Dumka,IN,2022-10-13 00:34:55,24.2667,87.25,74.89,93,94,1.28
243,Ordu,TR,2022-10-13 00:34:55,40.9086,37.6845,52.3,91,100,3.09
244,Manakara,MG,2022-10-13 00:34:55,-22.1333,48.0167,67.19,85,83,3.74
245,Vangaindrano,MG,2022-10-13 00:34:55,-23.35,47.6,68.9,87,88,5.68
246,Miraflores,MX,2022-10-13 00:34:56,19.2167,-98.8083,73.02,73,82,4.54
247,Novomyrhorod,UA,2022-10-13 00:34:56,48.7811,31.642,44.42,79,100,5.19
248,Moron,AR,2022-10-13 00:34:56,-34.6534,-58.6198,76.75,23,93,4.85
249,Talnakh,RU,2022-10-13 00:34:57,69.4865,88.3972,31.21,86,95,6.8
250,Barsovo,RU,2022-10-13 00:34:57,61.1667,73.1667,28.53,91,12,4.99
251,Kahului,US,2022-10-13 00:32:45,20.8947,-156.47,89.62,67,40,10.0
252,Atar,MR,2022-10-13 00:34:58,20.5169,-13.0499,85.39,32,7,11.14
253,Kangaatsiaq,GL,2022-10-13 00:34:58,68.3065,-53.4641,32.11,76,99,20.45
254,Shediac,CA,2022-10-13 00:30:45,46.2198,-64.5411,50.52,81,75,6.91
255,Kindu,CD,2022-10-13 00:34:58,-2.95,25.95,67.82,96,100,1.54
256,Hamilton,US,2022-10-13 00:33:33,39.1834,-84.5333,71.22,81,100,5.75
257,Provideniya,RU,2022-10-13 00:34:59,64.3833,-173.3,32.36,64,0,4.47
258,Iqaluit,CA,2022-10-13 00:34:59,63.7506,-68.5145,22.73,86,75,4.61
259,Kiama,AU,2022-10-13 00:34:59,-34.6833,150.8667,71.38,72,98,10.0
260,Amarante Do Maranhao,BR,2022-10-13 00:35:00,-5.5667,-46.7422,79.29,34,6,3.0
261,Prado,BR,2022-10-13 00:35:00,-17.3411,-39.2208,75.13,74,22,8.88
262,Komsomolskiy,UZ,2022-10-13 00:35:00,40.4272,71.7189,52.52,40,0,6.91
263,Buchanan,LR,2022-10-13 00:35:01,5.8808,-10.0467,76.5,88,95,6.53
264,Troitskoye,RU,2022-10-13 00:35:01,52.9821,84.6757,36.16,91,2,4.79
265,Kruisfontein,ZA,2022-10-13 00:35:01,-34.0033,24.7314,62.89,97,100,4.85
266,Birjand,IR,2022-10-13 00:35:02,32.8663,59.2211,55.87,19,0,11.5
267,Sarankhola,BD,2022-10-13 00:35:02,22.3082,89.7897,76.82,94,29,0.94
268,Mananjary,MG,2022-10-13 00:35:03,-21.2167,48.3333,66.92,86,98,3.38
269,Qui Nhon,VN,2022-10-13 00:34:19,13.7667,109.2333,74.77,91,100,12.01
270,Zolochiv,UA,2022-10-13 00:35:03,49.806,24.8944,41.74,85,0,2.77
271,Banda Aceh,ID,2022-10-13 00:35:04,5.5577,95.3222,80.19,75,67,6.13
272,Jacareacanga,BR,2022-10-13 00:35:04,-6.2222,-57.7528,73.83,93,100,2.48
273,Tadine,NC,2022-10-13 00:35:05,-21.55,167.8833,74.86,67,76,14.76
274,Champoton,MX,2022-10-13 00:35:05,19.35,-90.7167,79.56,91,63,5.46
275,Hammerfest,NO,2022-10-13 00:35:05,70.6634,23.6821,41.45,75,40,20.71
276,Cayenne,GF,2022-10-13 00:36:06,4.9333,-52.3333,77.04,94,75,4.61
